노선명,size,min,max,mean
7613,1203,0.0,13.195926099073318,3.666422849996597
771,40,0.0,3.0381350278167405,1.4741207052969494
7711,213,0.0,7.034698845427811,2.627604779495068
7713,637,0.0,5.466075489177637,2.1624292010295
7715,561,0.0,7.627176035451606,2.6792445684510486
7719,160,0.0,3.730928986645222,1.4461802180685257
7720,1151,0.0,10.166107493347143,3.5302987592392374
7722,422,0.0,6.212924354866367,2.2389736071139605
7723,186,0.0,4.079763752673352,1.531779655386557
7726,72,0.0,5.203366343446891,2.027173445564008
7727,157,0.0,8.282550473504813,2.953973386194045
7728,304,0.0,11.627008243050133,3.4257553947646895
773,63,0.0,5.62806990606647,2.021061079559839
7730,929,0.0,11.137843610943305,3.4060874246243595
7734,1390,0.0,11.685507510582973,3.070849127706644
7737,622,0.0,10.811565962918397,3.177452179845068
7738,657,0.0,8.268444523175864,2.5133308358617095
7739,283,0.0,6.78084527539199,2.0642603642522337
774,142,0.0,5.0718817139810355,1.8274561916207932
8001,36,0.0,3.23206437387299,1.4711138858496036
8003,66,0.0,2.27275875019979,1.1235626661593885
8146,23,0.6163785968699078,22.031965196944927,15.47835952396444
8772,81,0.0,5.215803051359956,2.2520601326833862
8774,413,0.0,6.24745496615473,2.493311664576239
8777,26,0.0,3.326736347356492,1.8239277635867972
9401,30,0.0,16.485356634684237,4.407862156740822
9403,137,0.32110547622021834,15.631997637772303,6.1084671407427695
9404,85,0.0,19.7593304822746,6.455174649692489
9408,121,0.0,17.2313401320446,7.791856832960727
9409,54,0.0,18.496829115433172,9.610893417834781
9701,181,0.0,12.356178691331463,4.873531783676222
9707,17,0.0,7.651653619703979,3.4101013989747337
9711,214,0.0,26.052791294911916,19.066692489965057
9714,5,5.017059972133669,8.320295331530488,6.246897149662636
Jan-01,1,0.0,0.0,0.0
N13,795,0.0,26.854522100804424,8.154059930346383
N15,815,0.0,27.585771638430522,7.7234775733221435
N16,774,0.0,38.43287768430737,9.308180813515863
N26,593,0.0,39.44819224328524,10.114792338326241
N30,408,0.0,26.860593601112186,9.94136730592346
N31,500,0.0,25.253941472564414,7.892802265688911
N37,380,0.0,37.55862389473228,9.65146750622457
N51,490,0.0,28.285518552528362,8.381365655149276
N61,1293,0.0,36.327214895183864,10.137820358279582
N62,755,0.0,35.801383035415014,9.515811062122545
N64,546,0.31777555005836944,32.01799001539552,8.454983391307927
N72,472,0.0,26.408699112068874,6.489803334294309
N73,526,0.0,34.20483556327404,9.481288104068241
N75,783,0.0,25.11826159401051,7.2099195080272
강남01,210,0.0,4.993547529929725,2.076066511477438
강남02,174,0.0,2.695823834214587,1.2650055823640531
강남03,174,0.0,2.8233306530107036,1.4630261909042241
강남05,409,0.0,8.15579557585599,2.89004610665564
강남06,441,0.0,8.885971224889161,3.723783192175489
강남06-2,104,0.0,3.616241340948696,1.704138200941353
강남07,418,0.0,5.470872877606775,1.9393330150753711
강남08,172,0.0,5.425657121586803,2.4432116130797032
강남10,236,0.0,4.264979476049885,1.9200541913579454
강동01,646,0.0,8.42741104325227,2.5327257056672803
강동02,726,0.0,6.983417438163273,2.555905150386754
강동05,779,0.0,8.034903824649874,3.1199383623766526
강북01,311,0.0,3.2662846509308983,1.4229608899479567
강북02,212,0.0,2.6873233394849967,1.2137015846486336
강북03,152,0.0,2.6095945583856865,1.075509295900126
강북04,170,0.0,1.6653115083485146,0.7626176372277828
강북05,267,0.0,2.5087145094350993,0.9652404863828744
강북06,264,0.0,2.819235721044403,0.9634823468031826
강북08,93,0.0,2.3920669196444093,1.0743247967580463
강북09,499,0.0,3.7113440020857698,1.6999060651198203
강북10,221,0.0,2.4797486871802707,0.9948762322846578
강북11,462,0.0,3.6830062452334853,1.6695286682436539
강북12,90,0.0,2.49624290934419,1.1395881364382179
강서01,296,0.0,3.296715249829068,1.1725589866825412
강서02,251,0.0,3.0902636582551097,1.4895595146803293
강서03,377,0.0,1.876093886253504,0.961990873886236
강서04,207,0.0,3.309456863557232,1.4858033372319872
강서05,823,0.0,4.896573397962969,1.7133375056352513
강서05-1,31,0.0,2.1572468727344813,1.203850385733466
강서06,294,0.0,4.730129583783966,1.8858774476171913
강서07,70,0.0,3.2862935072619215,1.3317123317272894
관악01,208,0.0,2.440827756409607,0.9820833594700902
관악02,287,0.0,4.310346598073561,1.6234585057325395
관악03,142,0.0,1.817248857070091,0.8445609114156706
관악04,234,0.0,2.1662578658887224,0.9136444479956648
관악05,162,0.0,1.669373976050848,0.711296821726013
관악06,220,0.0,2.430953354337392,1.0654420916440206
관악07,44,0.0,1.0135647599986737,0.4349910417580064
관악08,393,0.0,3.3822688039686017,1.547498959625605
관악10,207,0.0,2.9241929464895495,1.4977621917684383
관악11,44,0.0,1.6352681125145192,0.9205233344556181
광진01,276,0.0,3.26592705334975,1.4829566711804447
광진02,90,0.0,2.204587318542748,1.1869657759862078
광진03,436,0.0,4.265144259626563,1.684298550058297
광진04,376,0.0,4.899095695846007,1.992308157204128
광진05,294,0.0,3.292445247115568,1.2984892033327917
구로01,103,0.0,2.6364129918334225,0.9260185923773772
구로02,53,0.0,2.282565933875701,0.9849502199445395
구로03,51,0.0,1.366489846924607,0.5903378546516528
구로04,159,0.0,3.2743068370549477,1.6693023244751601
구로05,272,0.0,2.5003762888851697,0.9982364774066869
구로06,188,0.0,1.6342069732351965,0.7834546099090189
구로07,215,0.0,4.3513764739484575,1.5345671903648548
구로08,167,0.0,2.549192079253795,1.0045298820508555
구로09,542,0.0,4.399465509284326,1.7624773367874011
구로10,194,0.0,2.9164449453128665,1.2680413579917322
구로11,109,0.0,5.120108338096837,2.4593512371870907
구로12,82,0.0,1.1690250471812729,0.6387581822926042
구로13,71,0.0,2.496859285643766,1.2244606880955264
구로14,100,0.0,3.5495276693189757,1.301796150475613
